headline_id,orig_row,text,,,,,,,,,,,,
H01,17568,86 This trick will change your life forever (Kaunas),,,,,,,,clickbait,,,,
H02,3734,How to speed up your computer with simple tweaks (Madrid),,,,,,,,technology,,,,
H03,9103,60 Kaip pagreitinti kompiuterį paprastais triukais (New York),,,,,,,,technology,,,,
H04,11889,98 Treneris aiškino naują gynybos taktiką po rungtynių,,,,,,,,sport,,,,
H05,9488,32 Star player signs a multi-year contract with club,,,,,,,,sport,,,,
H06,26496,2 Coach explains new defensive tactics after the game,,,,,,,,sport,,,,
H07,29197,61 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,,,,,,,,technology,,,,aplamai gali kai kuriems priskirti economy/sport ar clickbait papildomai
H08,45270,45 She did X — what happens next will shock you — Read more,,,,,,,,clickbait,,,,
H09,34547,44 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis (Berlin),,,,,,,,technology,,,,
H10,24439,32 Stock market falls amid inflation concerns dėl rinkos reakcijos,,,,,,,,economy,,,,
H11,20061,65 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,,,,,,,,technology,,,,
H12,23362,2 10 reasons you should never buy this gadget,,,,,,,,technology,,cia galetu but clickbait,,
H13,29762,"96 Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte (London)",,,,,,,,clickbait,,,,
H14,18305,11 Major security breach affects millions of users worldwide analitikų teigimu,,,,,,,,technology,,,,
H15,17599,Žvaigždė pasirašė daugiametę sutartį su klubu as markets react (Madrid),,,,,,,,sport,,,,
H16,41312,9 Žvaigždė pasirašė daugiametę sutartį su klubu (Paris),,,,,,,,sport,,,,
H17,10905,3 10 reasons you should never buy this gadget,,,,,,,,technology,,cia galetu kaip clickbait,,
H18,13032,44 Earnings beat expectations as revenue grows in cloud segment,,,,,,,,economy,,,,
H19,445,Top 7 secrets companies don't want you to know (London),,,,,,,,clickbait,,,,
H20,5242,45 Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą,,,,,,,,sport,,,,
